words;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14
ever;0,000913384;0,000510528;4,28E-06;0,001159933;0,000279667;0,000962312;0,000318103;6,25E-05;0,001092716;0,000225397;7,69E-05;0,000112222;0,000159897;0,000337673
hoss;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;8,23E-06;0,000134227;2,62E-06;2,03E-06
mine;0,000517722;0,000503553;2,57E-05;0,000720661;2,60E-05;0,001300955;0,000212945;0,000570413;0,000148928;2,41E-05;4,25E-05;1,32E-05;0,000133685;0,000642799
mass;0,000238431;5,02E-05;4,28E-06;0,000166796;0,000211606;0,001230404;0,001382828;0,000355531;1,73E-06;6,44E-05;2,88E-05;2,20E-06;2,62E-06;8,34E-05
sdsc;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;4,52E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;7,69E-05;2,20E-06;2,62E-06;2,03E-06
poke;1,34E-05;5,72E-05;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;2,88E-05;2,20E-06;1,57E-05;1,22E-05
surg;5,17E-07;5,72E-05;4,28E-06;1,27E-06;1,24E-06;1,69E-05;2,63E-06;0,000257858;1,04E-05;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
pose;8,07E-05;8,37E-06;4,28E-06;1,27E-06;1,98E-05;0,000101593;2,63E-06;3,91E-06;0,000105635;4,02E-06;1,37E-06;0,00010122;2,62E-06;7,32E-05
quiz;3,10E-06;1,39E-06;4,28E-06;1,27E-06;1,24E-06;1,69E-05;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;9,36E-05
ensu;5,17E-07;1,39E-06;4,28E-06;1,27E-06;5,07E-05;2,82E-06;1,58E-05;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
jove;5,17E-07;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;4,21E-05;2,34E-05;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
ktkt;1,34E-05;1,39E-06;4,28E-06;1,27E-06;1,24E-06;2,82E-06;2,63E-06;3,91E-06;1,73E-06;4,02E-06;1,37E-06;2,20E-06;2,62E-06;2,03E-06
