words;T1;T2;T3;T4;T5;T6;T7
mddl;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
irsn;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ever;4,47E-05;6,62E-06;4,75E-05;6,29E-05;1,79E-05;1,99E-05;5,46E-05
mine;1,49E-05;1,99E-05;1,58E-05;1,08E-05;1,79E-05;1,99E-05;2,34E-05
lfun;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
gpib;1,35E-06;6,62E-06;1,58E-05;1,95E-05;1,79E-05;1,99E-05;7,80E-06
cbcl;1,76E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
vver;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
feni;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
mass;5,83E-05;0,00012583;0,000110768;0,000426957;1,79E-05;1,99E-05;0,002536071
gmdr;1,35E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;7,80E-06
poke;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
surg;4,06E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;1,99E-05;3,90E-05
pose;0,000104328;6,62E-06;1,58E-05;4,12E-05;1,79E-05;1,99E-05;7,80E-06
quiz;4,06E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
clna;1,35E-06;5,96E-05;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
hvof;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
ensu;1,49E-05;3,31E-05;4,75E-05;2,17E-06;5,36E-05;1,99E-05;7,80E-06
viti;4,06E-06;6,62E-06;1,58E-05;6,50E-06;1,79E-05;9,96E-05;3,90E-05
resp;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
msfb;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;2,34E-05
cdkl;2,57E-05;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
giga;1,35E-06;6,62E-06;1,58E-05;2,17E-06;1,79E-05;1,99E-05;7,80E-06
cava;1,35E-06;6,62E-06;1,58E-05;2,17E-06;5,36E-05;1,99E-05;7,80E-06
