words;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15
site;4.111752e-05;0.00012858796;5.595075e-09;5.379211e-05;0.00018222118;0.00016966279;0.0;0.0;0.004319248;0.0006529664;0.0;0.00042036522;0.0;5.0878214e-05;0.0004648621
help;0.00066251156;0.0053992616;0.0010783938;5.471915e-05;0.0009406892;0.0030316203;0.00057273754;0.00063463545;0.002308952;0.00064364413;0.004436901;0.0006253785;0.0007807173;0.00087295973;0.0015590992
look;0.0009059334;0.004489108;0.003231223;8.7065695e-05;0.0019464258;0.0012031216;0.0013335916;0.0013141927;0.0035480247;0.0017747947;0.0038451485;0.00031777463;0.0046570115;0.0009048494;0.0021733758
nois;3.7526712e-05;0.00018303968;0.0;0.0;0.00015673177;6.832742e-06;0.0;5.1197052e-08;7.033165e-05;5.603012e-05;0.0;0.0;0.0011912766;0.0;0.0001262777
tech;0.0001032277;0.00073735736;2.200086e-05;0.0;0.0;7.078046e-05;9.843369e-14;0.000100042285;5.2880976e-05;0.00010730108;1.3409621e-05;0.00017377594;0.00013831323;0.0;0.00011219096
bear;8.3263636e-05;0.0;5.3247426e-05;0.0;0.000110306115;0.0;0.00029371117;0.0013338055;1.818298e-15;0.00012925704;0.00022132497;0.0;7.833781e-05;0.0002987781;0.00023544978
data;0.003178285;0.0016062013;0.00035190547;0.0;0.0;0.00042355366;0.0;0.00032540865;0.005467444;0.0026261073;0.0006957523;0.00036024276;0.0;0.0;0.0010690818
gile;6.747993e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.268395e-06;0.0;4.528139e-06
make;0.0036065115;0.0026845457;0.0027802715;0.0;0.0009409562;0.0027047908;0.0031056374;0.005533321;0.0015178514;0.0020628306;0.0047839205;0.0003303368;0.0035861263;0.0030594433;0.0027871607
math;0.00017444033;0.00067847496;0.00014431319;2.440481e-10;5.259178e-05;0.0;0.00010489824;0.000111827765;0.00060492544;0.00024019092;0.0;0.00018288368;0.0;0.00035486996;0.00020023299
nmsu;0.00053103;0.00012668493;0.0;1.4779438e-05;0.0;0.0;0.0;3.579137e-05;4.847183e-05;0.0;0.0;0.0;1.1462209e-05;0.0;5.081309e-05
sens;0.000532481;7.6549964e-05;0.00019574609;0.0;0.00019972697;0.00062370993;0.0014196605;0.0004341037;0.00027372432;0.0005499711;9.495628e-05;6.323788e-08;0.0003475277;0.0007044381;0.0004502721
take;0.0018821278;0.0014251895;0.0018367236;0.0;0.0016319042;0.003096392;0.0020968947;0.0025900346;0.000358696;0.0014842582;0.0019196746;0.00057712884;0.0025148632;0.0018106092;0.0017417215
aerg;0.0;5.841587e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.528139e-06
cica;0.0;0.00020341513;0.0;0.0;0.0;0.0;0.0;0.0;0.00014758602;0.0;0.000556912;0.0;0.0;0.0;6.0371945e-05
file;0.00043881626;0.0;0.0;0.0007942133;5.6397603e-05;0.0;0.0;0.0;0.021950914;0.0;0.003856825;1.1177639e-09;0.0;0.0;0.00208886
find;0.0017448064;0.0023285144;0.00081883813;0.0;0.0009768631;0.0019888892;0.0019596717;0.0015599537;0.0025072703;0.0015961333;0.0017754307;2.1653845e-05;0.0010993403;0.0009166916;0.0014755847
high;0.0010682553;0.0016898356;0.00079987705;0.0;0.00018104406;0.0016930439;0.00043035453;0.00068186567;0.0008088655;0.0028003056;3.6296002e-16;0.0008662463;0.0017203385;0.00015659584;0.00090909714
icon;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.431159e-07;0.0;0.0019075832;0.0;0.0;0.0;0.00011118476
know;0.0037916272;0.010223274;0.0034556922;2.6473255e-12;0.0036195389;0.0046062693;0.005061288;0.002814317;0.0005685229;0.0018051419;0.0073127737;2.8265098e-15;0.004819314;0.0037669376;0.0038783727
line;0.0017380046;0.0016945646;0.0012462301;0.00090223877;0.00072375656;0.00031619702;0.00021994811;0.0004919031;0.0036376577;0.0006937624;0.002922652;6.9569394e-16;0.00095505;0.00052353;0.0011133553
love;4.6613016e-11;0.00036328455;0.00026818825;0.0;0.00024618092;7.246336e-05;0.003702266;0.0003005971;5.1577163e-06;1.6324155e-05;8.448244e-05;0.0;0.0008054887;0.00018634088;0.00061679777
made;0.0007441011;0.0005343793;0.0016479455;0.0;0.0013639218;0.000725712;0.0017041996;0.001248194;0.00021188895;0.00089793606;0.00097294897;0.0017281362;0.0011580999;0.00088436756;0.0010565043
mous;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.296622e-05;0.0;0.005523375;0.0;0.0;0.0;0.000329529
move;7.516608e-05;0.00060026004;0.0011037642;0.0;0.0006365938;0.00018187189;0.00010614304;0.00030830264;0.00022727923;0.00043147473;0.0024629612;0.0008257508;0.0009018325;0.00048710758;0.0005664879
near;0.00019874133;0.00033197098;0.00028221958;0.0;0.0011398677;0.00025722143;0.0001029422;0.00017466999;0.00016420975;0.0011267746;6.0444807e-05;0.0007933635;0.00073388714;0.00014177844;0.00039342232
paul;0.00054112374;0.0007900836;0.0007070815;0.0;0.00012787804;0.00029187003;0.0027832978;0.00036483922;0.00033561923;0.00024199962;4.068593e-13;9.856931e-05;0.00024780317;0.0;0.00059918914
read;0.0017688631;0.0027194053;0.00048383957;5.94598e-08;0.0002573227;0.0018279713;0.0030181818;0.0016086459;0.0028422095;0.0005909205;0.0013569955;4.8499725e-16;0.0015375298;0.0018996764;0.0015882766
them;0.0029166553;0.0033230777;0.0019007085;0.000116198724;0.0074530225;0.0023612117;0.004079226;0.0053590247;0.00104524;0.0018418318;0.0028192534;1.07954735e-13;0.0040971115;0.0037929479;0.0032525202
your;0.0049097766;0.0029526514;0.0022615246;9.3536866e-05;0.0020294397;0.005108578;0.0068599125;0.00952127;0.0069117746;0.0008207272;0.005862354;0.0;0.006827476;0.007667211;0.0049006776
andi;1.3172592e-05;0.00052959187;0.00020514545;0.0;0.0;0.0;0.00022097386;0.00048318843;2.4491606e-05;3.5482695e-05;0.00010698235;0.0;0.0006426289;0.00079850294;0.00024148695
core;0.00033097417;0.0;0.0;0.0;0.0;3.6091278e-05;6.445696e-05;5.6939225e-05;6.182709e-06;0.00044665296;0.0006387263;5.298305e-05;0.0;8.0190825e-05;0.000109172375
down;0.00025430604;0.0005052152;0.0017144659;0.0;0.0029075865;0.000613479;0.0005351649;0.0013736888;0.00034281792;0.0009599473;0.0014138256;2.2044504e-10;0.0025184092;0.00023851787;0.0010072012
good;0.0023866815;0.003763362;0.0045902836;0.0;0.0003986907;0.0030437214;0.00287521;0.0036386193;0.0010972924;0.0012081409;0.0009127515;0.0;0.0045528472;0.001268807;0.002279537
hold;0.0003270336;0.00027129322;0.00036282546;0.0;0.00021606887;0.0004106321;0.00076654815;0.00066113984;6.9703965e-05;0.0002650806;0.0004958624;0.00016437803;0.00063941465;0.00041098584;0.0003994595
into;0.0020764528;0.0016431842;0.0019294218;2.559263e-05;0.0037290377;0.0015251595;0.0022172034;0.001481289;0.0013757132;0.0029300777;0.003168212;0.0008352576;0.002698491;0.0018140776;0.0020305025
issu;0.0017634085;0.00014533597;2.840451e-05;0.0;0.00027972783;0.00060032343;0.0016799493;0.001437654;0.0003522699;0.0001245222;0.00038509374;0.0032445195;0.00015292688;0.0006144702;0.0008457068
karl;0.0002457983;1.698778e-05;0.0;0.0;3.5926507e-06;0.0;2.7134334e-05;3.8387585e-05;5.9510894e-05;2.76309e-05;0.0;0.00014074892;0.00012307678;0.0;4.8297603e-05
like;0.0037496039;0.0067663696;0.005251405;5.3552434e-05;0.0028851756;0.0050235125;0.003555094;0.006522144;0.0024482214;0.004026898;0.004939713;8.167495e-15;0.007735497;0.00379022;0.0042526894
main;0.00019597674;0.0005546426;0.0004578491;0.0;0.0002977729;0.000271401;0.00012986956;0.0001627753;0.00020407847;0.0005147407;0.0011162068;0.00049219537;0.0003723005;0.00017195418;0.00033908786
moot;1.4460032e-05;0.0;8.715414e-06;0.0;6.1846767e-06;0.0;1.2534943e-05;1.0014943e-05;0.0;2.4800607e-05;1.8843588e-05;0.0;2.4883073e-05;1.0512983e-05;9.559112e-06
sinc;0.0018248347;0.0014620019;0.0015282995;0.0;0.00078896625;0.0021220269;0.0016823879;0.0015712075;0.0005329444;0.0012415039;0.0017993151;0.0006736544;0.0017957313;0.0016032254;0.0013744606
tail;0.0;0.0;4.7042904e-05;2.595552e-05;4.7038448e-05;6.0645394e-05;1.0605001e-05;1.1945631e-05;0.0;0.00013620046;2.4266767e-05;0.0;0.00017066415;5.985019e-06;3.622327e-05
tank;0.0;0.0;0.0;0.0;0.0018290877;0.0;0.0;0.0;0.0;0.00037870943;0.0;0.0;0.00036551396;2.4440646e-05;0.00020073607
fact;0.0014935978;0.00016385065;0.0006324665;0.0;0.0014065469;0.0014442488;0.002088219;0.001971904;7.5784534e-05;0.0003152525;0.000581094;0.00045977943;0.00072577794;0.0034415212;0.0011651738
here;0.0018803693;0.0019674397;0.0016345852;0.00049654057;0.0016388182;0.0014572432;0.0022129833;0.0025328354;0.0006543213;0.00090501446;0.0019941002;0.00072576286;0.0031931214;0.0019537471;0.0017618475
idea;0.0018299317;0.0011405182;0.00033613358;0.0;0.00014986286;0.0011142665;0.0012551517;0.0013744459;4.4813295e-10;0.001740631;0.0013864218;6.3513115e-05;0.00086672936;0.00077302183;0.0008929976
imag;0.0;0.0;0.0;0.0;9.31598e-06;0.0;4.7508138e-07;0.0;0.014661843;0.0013790492;0.0;0.0;0.0;0.0;0.0012914512
inch;2.2029268e-05;0.00028341828;5.4027787e-06;0.0;1.7267239e-05;5.117544e-05;0.0;0.0;8.620701e-05;0.00013555147;0.00020212724;1.6060507e-05;0.00035582023;1.8063509e-05;8.351441e-05
menu;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00028886186;0.0;0.0015170963;0.0;0.0;0.0;0.00011219096
onli;0.004405982;0.0044848965;0.0033296358;0.0;0.0023707624;0.002858517;0.004281757;0.0042086453;0.0019438904;0.002255798;0.0037106262;0.00030939444;0.0032665671;0.0043541924;0.0031846038
pull;0.0;0.00015216299;0.0001388264;0.0;0.00031187135;0.00017557986;0.0;0.000143165;2.3153205e-05;0.00010199892;4.8495924e-05;0.0;0.0012421699;6.987144e-05;0.0001775936
call;0.0023585118;0.0022302822;0.0020707739;5.1181778e-05;0.0020692088;0.0015679883;0.0019122764;0.00096739945;0.0015506145;0.0013497022;0.0035161297;0.0021275622;0.0013638316;0.0018407837;0.0018071259
evid;0.0002662826;0.0;5.2348756e-08;0.0;0.00084391964;0.0017628253;0.0019350903;0.0012314669;0.0;0.00023208294;0.0;0.0;0.0;0.0009536384;0.00062283466
form;0.0005920745;7.4641626e-05;0.00010915486;0.0;0.000213747;0.00093287055;0.0007962798;0.0004773102;0.0008606319;0.0007958731;0.00033554336;0.0007065616;0.00015796992;0.00091797515;0.0005217121
gold;0.0;0.0001279165;0.00024442046;0.0;0.00017681885;0.0;5.4519536e-05;0.0;4.6446303e-06;0.00010862769;0.0;7.755719e-05;9.6827316e-05;2.2359156e-05;6.6409106e-05
last;0.00029219416;0.00047715267;0.0055759903;0.0;0.0016674366;0.0007456114;0.00068937714;0.0007556014;0.00023170457;0.00080032233;0.00072615803;0.00242427;0.0014289862;0.0006137862;0.0011490744
need;0.00376677;0.0063740034;0.0010676957;8.8988396e-05;0.0005425384;0.002262859;0.0015993359;0.001737268;0.0027488999;0.0015745168;0.0040068463;0.0005355463;0.0021310307;0.0009798923;0.0021472212
post;0.0015479195;0.0025086848;0.0014641709;8.635398e-05;0.00044802192;0.002097605;0.0018789697;0.002537294;0.0045208735;0.0008776757;0.00048512;0.00045311011;0.00086892635;0.0025985464;0.0017452425
pure;3.8196387e-05;2.790924e-05;0.0;0.0;4.8743255e-05;0.00025534065;0.0001601758;0.00013442001;0.00011675061;0.00027502427;0.00017222123;2.1863814e-05;2.7859778e-05;0.0002474186;0.000112694055
view;0.0002495276;0.00024545347;4.6483092e-05;0.0;0.00017221596;0.00029311635;0.0017336734;0.0008090178;0.0018419765;0.00040359225;0.0006727078;0.00033319276;6.842262e-05;0.0011739319;0.00067767245
well;0.001650875;0.0018824702;0.0037171328;0.0;0.0021586975;0.0023356036;0.00201763;0.003740025;0.001262638;0.0017847234;0.0026204;0.0012290372;0.0030284985;0.002235258;0.0022272125
berg;0.0;5.5289882e-05;0.00015150993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3583891e-05
book;9.554615e-05;0.0011910589;0.00031274764;0.0;0.00041720204;0.0007994621;0.0029684845;9.809899e-05;0.0014501896;0.0014009379;0.00012388731;0.0021488925;0.00020511086;0.0002851568;0.0009453202
chip;0.010731429;0.0024350178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00083564525
fine;0.00012930945;0.0010608742;0.00031822443;0.0;0.00021737216;0.0002255955;2.7263248e-05;0.00033411605;9.227396e-05;9.252346e-05;0.0013634117;0.0;0.0007555263;0.00019151282;0.00033908786
kipl;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00029900967;0.0;0.0;0.0;0.0;1.8111765e-05
mean;0.0017127059;0.00092215;0.0008084047;0.0;0.00046118474;0.0010297624;0.0042188503;0.002816651;0.0004851191;0.000751334;0.0021988319;2.6536665e-14;0.00095892773;0.002801647;0.0015842532
rule;0.00023838457;0.0;0.0009421335;0.0022775931;0.00020897883;0.00018502581;0.00064680097;0.0010704732;0.00019411498;0.00030752286;0.0001513029;0.00054596807;0.00020753198;0.0010555076;0.000525737
seem;0.001495024;0.0019706828;0.0014929461;0.0;0.0009383791;0.0026720115;0.0024340411;0.002023918;0.0003742892;0.00087978464;0.002507135;0.0;0.0016141665;0.0025004372;0.0015817403
work;0.0028198056;0.00696354;0.00086230383;0.0;0.0020376958;0.0024192296;0.0013237701;0.0009826057;0.0017980182;0.0026063295;0.008301969;0.003090445;0.0031646548;0.0009917665;0.0026181152
appl;0.0;0.0056740115;0.0;0.0;0.0;8.727438e-05;0.0;0.0;0.00039151343;0.0;3.6482456e-06;0.0;0.0;0.0015105894;0.00057906547
same;0.0012035063;0.0023445005;0.0012409994;6.123955e-05;0.0011932879;0.0015384527;0.0018910698;0.0016493279;0.00084701466;0.00093169964;0.002863252;1.7688067e-09;0.0021651792;0.0025949602;0.0015404859
sure;0.0013803538;0.0015146543;0.0014341531;0.0;0.00064097653;0.0014346775;0.0011233339;0.0019595572;0.00048332766;0.00045490812;0.0017301599;0.0;0.002118493;0.0012910578;0.0011702048
agre;0.00052535225;8.286667e-07;0.0006831042;0.0;0.00019730673;0.0003240106;0.0012798231;0.0010483194;3.8152434e-06;5.8224363e-05;0.000108025335;0.00027155233;0.00055786455;0.0019423963;0.0005674938
back;0.0011271056;0.0009858666;0.0026929865;2.6487487e-05;0.0019899732;0.001442173;0.00068098825;0.0012759673;6.462552e-05;0.0015426449;0.001665523;0.000601094;0.003516407;0.0013738715;0.0013548413
blow;9.795314e-05;8.5395004e-05;0.00016377782;0.0;0.00021716049;0.0;6.8949213e-12;0.0001379194;0.0;3.982704e-05;5.1006147e-05;0.0;0.000449956;0.00016020947;0.000103638304
door;0.000759054;0.0;0.0;0.0;0.0015089695;0.0;2.4815447e-05;0.00011059257;0.0;7.614822e-05;0.0;0.0;0.0012460046;2.8754725e-05;0.00028123165
drag;0.0;0.0;3.4566252e-05;0.0;0.0003029546;3.4322064e-05;0.0;2.4854971e-05;1.786029e-14;0.00072358846;0.00050801656;0.0;2.1495245e-16;7.902478e-05;0.00011017857
folk;0.00032965318;0.00047405364;0.00017901888;0.0;0.00014921054;0.0002082854;8.2798964e-05;0.0006309927;7.269469e-05;0.00013381388;1.8564258e-10;3.71809e-06;0.0004957828;0.00012024777;0.00022538786
give;0.0014612722;0.001577849;0.002383894;5.2828465e-05;0.0008291623;0.001413274;0.0019054555;0.0015483812;0.00050840457;0.0012629107;0.0025390848;0.00012788715;0.00077501975;0.0018531065;0.001350314
imho;9.412626e-05;7.959963e-06;0.00031398865;0.0;0.0;4.439853e-05;6.0794224e-05;0.00018666427;9.5646275e-05;0.0;6.958506e-05;0.0;0.00038113218;0.000121877136;0.00010263212
jimf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00019877047;0.0;1.4590085e-05
just;0.0031375184;0.0057495884;0.0043573314;5.478866e-05;0.0027403138;0.003520519;0.0036716554;0.0053092353;0.00036798124;0.0032626828;0.004721826;0.0;0.0073778527;0.0046286234;0.0036711048
kind;0.00071833405;0.0014235872;0.00044608547;0.0;0.00063793384;0.001169452;0.0010561823;0.0010429427;5.248969e-08;0.0004908052;0.0009825632;1.7369475e-06;0.00083061325;0.0003575402;0.0007063495
ladi;0.0;0.0;2.5830746e-05;0.0;3.6714424e-05;0.0006851022;0.000110865425;0.0;0.0;7.7822646e-05;0.0;5.181832e-05;6.318114e-05;1.6266923e-06;7.093698e-05
live;5.629004e-07;2.219023e-15;0.00044468298;0.0;0.0025411746;0.00061338214;0.0024154685;0.002097095;0.0;0.00028179918;9.983572e-05;0.0006042647;0.0010626641;0.0019772395;0.0010454365
male;0.0;0.0;0.0;0.0;3.773255e-05;0.0002500655;0.00037736847;0.000874937;0.0;0.0;0.0;9.246375e-05;3.7277718e-05;0.0;0.00016099139
mark;1.3332192e-09;0.0014293287;0.0021675993;0.0;0.00026729263;0.00072808063;0.0007298108;0.0009061527;0.0005775655;0.0007052116;0.00067852385;1.7556436e-05;0.0009630117;0.000607208;0.00073049753
