Words;T1_lev1;T2_lev1;T3_lev1;T4_lev1;T5_lev1;T6_lev1;T7_lev1;T8_lev1;T9_lev1;T10_lev1;T1_lev2;T2_lev2;T3_lev2;T4_lev2;T5_lev2;T6_lev2;T7_lev2;T8_lev2;T9_lev2;T10_lev2;T11_lev2;T12_lev2;T13_lev2;T14_lev2;T15_lev2;T16_lev2;T17_lev2;T18_lev2;T19_lev2;T20_lev2;T21_lev2;T22_lev2;T23_lev2;T24_lev2;T25_lev2;T26_lev2;T27_lev2;T28_lev2;T29_lev2;T30_lev2;T32_lev2;T33_lev2;T34_lev2;T35_lev2;T36_lev2;T37_lev2
new_docs;0;0;0;1,16E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,23E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nan;0;0;2,52E-05;0;0;0;0;0;0;0;2,77E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,06E-05;0
find;0,001690661;0,000873649;0,002058957;0,000122819;0,005402567;0,001445911;0,000684089;0,00019701;0,001226755;0,000776431;9,19E-05;0,000527764;0,005054253;0,003462777;3,05E-14;0,000763036;0,000372785;0,002287442;0,001469391;0,001540373;0,00131834;0,002938212;0,001123306;0,001100319;1,14E-07;0,002795656;0,007779684;0,001807417;0,002262083;0,007297062;0,000245241;0;0;0,000854745;0;0,003030074;1,33E-08;0,000959954;0;0,00217781;0,000570954;0,000222421;0,000586426;0,000300472;0,000135364;0,001036809
form;0,000940903;0,000162211;0,000745207;0,002116462;0,001213649;0,000243191;0,001679241;0,000489239;0,001678204;0,000542373;0,002238031;0,000480999;0,001505516;0,000617;0,000481097;0,000283885;0;0,000500053;0,000671194;3,05E-12;0,003119067;0,002399246;0,000824121;4,45E-05;0,002086881;0,001195958;0,001744867;0,001380287;0,000576624;0,001164807;0,00072293;0,005029178;8,43E-05;0;0,000101977;1,50E-05;0,000354659;3,04E-07;0,000157188;0,001769167;3,29E-10;0,000633145;0,000260825;7,64E-06;0,000716078;0,001504437
less;0,00023008;0,00064976;0,000631068;0,000880247;0,002685911;0,000906719;0,000484718;0,000318058;2,55E-07;0,000492755;0,001075692;0,000858604;0,003336775;0,000795842;0,000126417;0,000697269;0,000583456;0,001315585;0,001036558;0,000338024;1,25E-11;0,001450339;0,001544521;0,000457296;0;0,000811629;0,005509531;0,000151042;0;0,001847952;0,00103005;4,16E-06;0,00047739;1,51E-05;0,000906577;0,000448793;9,41E-07;0,000932024;0;0;0,000151881;0,00072549;0,0007689;0,000766849;0,000221954;0,000382573
mock;0;0;0;9,23E-06;3,28E-05;0;2,49E-05;2,75E-05;0;0;0;0;0,000105909;3,40E-05;0;0;0;0;0;0;5,84E-05;8,60E-05;0;6,01E-05;0;0;0;0;0;0;0;0;0;0;3,47E-05;0;0;0;0;0;0;0;0;0;0;0
over;0,000181968;0,001058174;0,00053445;0,000319053;0,000610956;0,001085875;0,000386193;0,000420694;0,000459202;0,000521577;0,000338305;0,002091331;0,000605764;0,000558334;0,001008855;0,000321715;0,000409464;0,001128272;0,001361308;0,001382574;0;0,000945849;0;0,002213646;0,000220842;0,000721614;0,00067539;0,000162406;7,92E-07;0,000535926;0,000319167;0;0,000163513;0,001838175;0,000752137;6,10E-05;0;6,36E-12;6,04E-05;2,84E-08;0,000455327;0,000201006;0,001387989;0,00104755;0,000424252;0,000163233
rate;0,000150088;0,002281975;0,000279459;0,002556488;0,002920029;0,002916917;0,00321815;0,000525311;5,61E-07;0,000938404;0,001348184;0;0;1,08E-13;0;0;0,000757814;0,00259596;0,002438961;0;0;1,27E-06;0;0,003915537;0;0;0,009391442;0;0;0;0;0,000654584;0;0,011971611;0;0;0;0,003275011;0;0;0;0,002086087;0,004694715;0,001062918;0,003013799;0,005914622
want;0;1,89E-05;6,60E-06;0;0,000135073;0;0;7,84E-05;0,000126294;0;0;0;6,38E-05;0;0;0;5,63E-05;5,65E-08;4,98E-08;0;0;5,86E-05;0,000142555;0;0,00021138;1,15E-05;0,000149449;0;0,000419249;0,000341183;0;0;0;0;0;0;0;0;8,14E-05;0;0;6,36E-09;0;1,95E-05;0;0
warm;0;0,000290563;0;0;0,000174171;0;1,11E-05;0;0;0;0;0,000385872;0;0;0;0;0,000157355;6,87E-06;0;0,000178208;0;0;0;0,000241972;0;0;0,000753885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000312528;0;0;6,63E-05;0
word;1,09E-05;0;0;0;0,000498017;3,81E-05;0;0,000185902;0;0,000231984;0;0;0,000165064;0;0;0,000831172;0;0;3,55E-07;0;0;0,003128861;0,000575908;0;0;0;0,000201047;0;0;5,91E-09;0;0;0;0;0;0;0;0;5,66E-09;0;0;0;0;0;0;0
base;0,000345243;0,00344732;0,002870214;0,00149838;0,001443554;0,001231562;0,002896594;0,01115802;0,005332427;0,010318745;9,91E-05;0,00538623;0,000470409;0,001085622;0,008817788;0,016086392;0,003235902;0,000514318;0,000331366;1,02E-05;0,008468054;0,000122004;0,015099457;0,005033614;0,006896846;0,001894974;0,003336342;0;0,010451825;7,34E-15;0,003023854;0,004491157;0,00671612;0,016091172;0,007169337;7,35E-06;0,004145872;0;0,011753415;0,001428348;0,004111599;0,002998359;4,27E-09;0,001356284;1,81E-09;8,13E-10
best;6,10E-05;0,000600889;0,000193381;0,000463844;7,26E-05;0,000134695;0,00034454;0,000472408;0,000539956;0,000943027;6,63E-05;0,000646432;0;4,00E-15;0,000470071;0,001683724;0,000389049;7,77E-05;8,31E-07;0;2,96E-05;5,37E-11;0,000402612;0,001168378;0,000291133;6,92E-05;0;2,85E-06;0,001883541;8,42E-16;0,000352068;0,000535885;0;0,003113311;3,06E-11;0;0,000265248;0;0,000344037;2,00E-13;0,000557995;0,000349944;0,000426095;0;0,000294187;0
call;4,84E-05;5,37E-05;0,000202432;4,51E-06;0,000129428;1,39E-10;0,00023113;0,001406358;0,000780545;0,000534092;0;0;0,000802427;0;0,001408086;0,001017529;0;0;0;5,08E-05;0,001707443;0,000593375;0,001298199;0,000174878;5,32E-16;0,000231796;0;2,23E-15;0,001513695;0;5,88E-14;0;0;5,26E-15;0,000849923;0;0,000175448;0;0,001444798;0,000478342;4,93E-05;0,000261257;0;7,81E-05;0;0,000190821
copi;0;0;0,000607099;0;0;0;0;6,91E-05;0;0;0;0;0;0;0,000229566;0;0;0;0;0;0;0;7,08E-06;0;0;0,001370853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000126623;0
dass;0;0;0;0;4,44E-05;0;0;0;0;0;0;0;0;0;0;0;0;0,000176136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
data;0,001150107;0,00506571;0,002941503;0,001815604;0,000890008;0,002716669;0,000939315;0,009938209;0,002651749;0,005664748;0,000655902;0,029749822;0,001053621;1,68E-05;0,011468108;0,013250561;0,000236764;0,001832159;0,001862399;0,002035364;0,000469936;0;0,005095387;4,45E-16;5,44E-07;0,003218627;0;0,001675947;0,009518552;0;0;0;0;0,024405992;7,23E-16;0,000910248;4,53E-13;9,10E-09;0,008511745;5,94E-05;0;0,001370353;2,25E-13;0,00090351;0;2,12E-08
deci;0;0,000595737;0;0;0,00134115;4,75E-05;0;0,001017338;0,001628235;0,000162087;0;0;0;0;0;3,59E-05;0;0;0;0;0;0;0;0;0;0;0,00027639;0;0,01745905;0,001171756;0;0;0;0;0;0;0;0;3,15E-16;0;0;0;0;0;0;0
draw;0;1,44E-05;0;0;0,000240791;0;6,28E-05;0;0,000910464;7,79E-05;0;0;0,001304568;0;0;0,000199925;0,000152717;0;0;0;0;4,97E-16;0;0;0,001630182;0;0,00024385;0;0,000939733;0,000278732;0;6,63E-05;2,23E-09;1,53E-12;0;0;0;0;0;0,000135558;0,000137798;0;0;0;0;0,000172255
emot;0;0;0;0;0,007530431;0;0;0;0;0;0;0;0;0;0;0;0;0,00346918;0;0;0;0,03321979;0;0;0;0;0;0;0;0,002996012;0;0;0;0;0;0,001561073;0;0;0;0;0;0;0;0;0;0
hous;0;0,000633424;1,04E-06;4,48E-05;0;0,000240486;6,40E-05;0,000126132;0,000158859;1,12E-05;9,34E-12;0;5,71E-05;0;0;0;0,002915682;0;0;0;0;0;0;0,000713808;6,83E-05;0;0;0;0;0;0;4,94E-12;0;0;0;0;3,76E-05;1,19E-10;0,000629864;0;7,32E-05;0;0;0,001082211;0;0
make;0,000114557;0,000624772;0,000255278;0,000138336;0,001323801;0;0,000348394;0,003022781;0,00188586;0,000873308;9,62E-12;0;3,91E-08;3,21E-16;0,001597746;0,001694633;0,000629112;0;0;3,74E-10;6,56E-07;4,69E-13;0,001970382;0,000248084;0,00060665;0;0,002805085;0;0,010425689;0,000805086;5,18E-07;5,82E-11;0,000474889;2,79E-09;0,004280916;1,86E-16;4,20E-10;0;0,002710286;0,001659744;0,00064087;8,88E-05;0,000851844;1,40E-14;1,78E-15;0,000231348
name;4,83E-05;0,000209593;0,000295637;0,000254342;0,00031101;0;0,000284906;0,000547857;0,000481778;0,000417838;0,000321991;0,000306012;0,000887402;0;0,000814156;0,001501856;0,000508442;0,000117005;5,57E-05;0;0,000373476;3,16E-08;0,000560023;0,000286935;0,000555349;0,000317031;0,000625127;4,34E-06;1,28E-05;0;0,000240351;4,40E-11;0;1,34E-13;0,000494232;0;0;0;0,000408083;0,000506055;0,00025721;0;8,89E-05;0,000139863;0,000414688;0,000392594
rank;0;0,000139829;0;0;0;0,000301861;0;0;0,000288947;0,000416744;0;0;0;0;0;0,001887021;0,000392918;2,66E-06;0,000113035;0,000300733;5,93E-05;0;0;0;2,56E-07;0;0;0;0,000547879;0;0;0;0;0;0;0;0;0,000443928;0;0;0;8,09E-05;1,89E-16;0,000507395;0;0
task;0;0;0;0;0,003600299;0;0;0,001829521;7,56E-08;0,000812064;0;0;0;0;0,000512226;0,003788112;0;0;0;0;0;0,006516521;0;0;0,000181643;0;0,002597169;0;4,08E-15;0,005078463;0;0;0;0;0,002496968;0,004528571;0;0;0,001619373;0;7,01E-16;0;0;0;0;0
time;0,000755972;0,002176724;0,00074595;0,002985638;0,001192842;0,002500305;0,002640254;0,005337851;0,000887568;0,006579192;0,001879281;0,004381111;2,60E-08;0,000149925;0,008002328;0,000429112;7,02E-06;0,001970501;0,002244135;3,69E-07;0,011368268;0,002158783;0,002236612;0,001317005;0,001224725;0,000492277;0,000589461;0,000639373;1,06E-05;0,000596594;0,001546668;0,000352691;0,010212222;0,010675494;0,006715657;0,000345863;0,00058639;0,003940788;0,005664914;0,000389884;1,64E-08;0,002031276;0,001465739;0,000456831;0,003645212;0,002365325
tree;0;0,001003402;0,001513074;0;0;0;0;0;0;0,000486143;0;0;0;0;0;0,000780315;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,015421569;0;0;0
cell;0,038258165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03470869;0;0;0;0;0;0;0;0;0,07720467;0;0;0;0;0;0;0;0;0
deal;0;0;0;4,53E-12;0;0;0,000172802;0,000387952;0,000832989;0,00051338;2,52E-16;0;0;0;0,000354886;0,000566581;0;4,90E-06;0;0;0,001221024;0;0;0;0,000590018;0;0;0;0,001668282;0;0,000177929;0;0,000229957;0;3,02E-11;0;0;0;0,000551193;0,000572336;0,000932613;0;0;0;0;1,99E-08
gcup;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
giga;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gpus;0;0;0;0;0;0;0;0,000119291;0;0;0;0;0;0;0,000501911;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
high;0,001671362;0,003419329;0,003490979;0,006156305;0,002527263;0,00228594;0,002816602;0,001449004;0,001286044;0,006372687;0,004909325;0,009940295;0,001122458;0,001460672;0,003082166;0,005024045;0,001830666;0,003352135;0,001528288;0,006224432;3,89E-10;2,59E-07;0,002244718;0,003197826;0,00145701;0,003888722;0,00492741;0,001048738;4,49E-14;0,003092989;0,001976158;0,004759613;0,008590214;3,98E-05;0,004742768;0,001184954;0,004907671;0,003401293;1,87E-08;1,57E-08;0,011975287;0,003431773;0,001372181;0,00454688;0,006758856;0,003583112
need;0,000214394;0,001183784;0,00041596;0,000417497;0,000691671;0,000977538;0,000170485;0,002279517;0,005414102;0,000515986;0,000409465;1,10E-05;3,82E-08;0,000874511;0,000772653;4,43E-08;0,002043814;0,00196221;0,001511079;0,002718763;1,11E-11;2,85E-10;0,001747198;0,000375192;0,000480945;0;5,02E-05;0;0,011851917;0,002170014;0;0,000376485;0,00038053;2,44E-06;0,005184631;2,89E-10;0,000262188;0;0,001653803;0,004377978;0,000623453;0,000460574;4,08E-13;0,001674988;3,78E-08;6,17E-05
none;1,38E-05;2,17E-05;0,000129763;5,44E-05;4,64E-05;0,000251351;0;6,44E-05;1,62E-13;7,26E-06;0,000112664;3,30E-05;3,82E-05;0,000257756;6,19E-05;8,69E-05;3,00E-05;0,000161092;0,000366305;0;0;0;4,49E-05;0;0;0,000311156;2,19E-05;9,11E-06;0;5,19E-05;0;0;0;9,67E-12;0;0;0;4,79E-15;0,000125473;0;0;7,51E-05;0;0,00021873;2,54E-05;2,63E-05
part;0,000512894;0,000899784;0,000181781;0,000385919;0,000402963;0,000155133;0,001192375;0,000813945;0,002794174;0,00086552;0,000372964;0,001087351;0,000601475;1,01E-07;1,00E-08;0,000440297;0,000268608;3,76E-14;0,000196778;0,002071898;0,00020953;0,001750992;7,54E-05;1,79E-08;0,003533859;3,37E-14;7,60E-05;0,000253017;6,48E-09;0,000535292;0,00022262;0,000926395;1,34E-14;0;0,009359374;0,000590916;0,00028435;0,000321544;4,96E-15;0,001747794;0,000987135;0,001225696;0,000361885;0,000507897;0;0,000543569
past;0;0,000225157;0,000284759;9,07E-05;0,000276986;8,61E-05;0,000106661;0,000125921;0,001745344;0;0;0;0,000179274;0;0;0;0;0,000925116;1,28E-05;0,000818925;0;0;0;0;6,70E-14;0;0,000610788;0;0;0;5,48E-09;7,23E-05;0;0;0;0;0;0;0;0,004534477;0;0,000343145;0;9,28E-12;0;0
read;0;0;0,000351362;0;0,000459612;0,000255212;5,12E-05;0,00038765;6,70E-05;8,46E-08;0;0;0,000302906;0,00125535;0,000883709;0;0;0;0;0;0;0,001058238;0;0;9,53E-05;0,000798052;0,000963927;0;0;0,000313256;7,57E-16;0;0;0;0,00037203;5,11E-05;0;0;7,21E-05;0;0;0;0;1,62E-14;0;0
show;0,003470369;0,003998205;0,002573667;0,003980282;0,004603971;0,002477165;0,003970392;0,003115032;4,37E-06;0,003338324;0,001716044;0,00472886;0,001937318;0,001022858;0,004299349;0,003981461;0,003199969;0,000982889;0,001406263;0,000991801;0,001721796;0,004641116;0,005935953;0,004065757;0,001503091;0,004142358;0,00554015;0,005126918;1,41E-10;0,006176781;0,004566131;0,003442691;0,002815328;0,010364127;2,43E-09;0,003448598;3,77E-07;0,00632213;0,001506227;0;0,001320703;0,003052703;0,003077498;0,000412689;0,006737256;0,003567647
take;9,58E-05;0,000310895;4,14E-05;9,60E-05;0,001051283;0,00014256;0,000331596;0,000929803;0,001036881;0,000794415;2,10E-05;1,74E-05;0,000505465;9,77E-05;0,00094311;0,000490244;0,000103006;0,000319055;0,000269011;0,000135544;0,000369539;8,54E-12;0,000302489;0,000964191;0,001261707;0;0,000424593;2,85E-11;0,002021978;0,004029334;0;0,000122658;0,001020159;0,000148337;0,002578328;0,000125667;7,51E-12;5,13E-15;0,000751514;5,99E-05;0,000784218;0,000328884;0,000196001;0,000163434;7,65E-05;0,000510751
tera;0;0;0;0;0;0;0;0;0;5,11E-06;0;0;0;0;2,95E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tool;0,000342375;0,000539541;0,001011394;6,32E-07;2,41E-06;1,67E-05;0,000138449;0,002199804;0,003700771;0,000848575;0;0,000269241;0;0,000452634;3,24E-06;0;0,000464074;0,000121199;0;0;4,73E-06;0;0,000273113;0;0,005635884;0,000266296;0;0;0,002012912;3,00E-13;0;0;0;0,001295935;0,014658488;0;0,00213314;0;1,33E-08;1,10E-06;1,51E-06;8,75E-12;0;0;0;0
